Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	fdr
MRGPRD	2	16	0.037037037	0.202531646	6.159444439	0.006535613	1	-1	-0.064359116	2-sample test for equality of proportions with continuity correction	less	0.645660657
C6orf3	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
FAM229B	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
FYN	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
KIAA1919	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
LAMA4	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
RFPL4B	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
SLC16A10	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000239015.1	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000239095.1	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
TRAF3IP2	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
TUBE1	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
WISP3	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
IGHMBP2	2	15	0.037037037	0.189873418	5.419730333	0.009955217	1	-1	-0.053254494	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR3164	4	19	0.074074074	0.240506329	5.102786186	0.011943722	1	-1	-0.052395278	2-sample test for equality of proportions with continuity correction	less	0.645660657
TPCN2	4	19	0.074074074	0.240506329	5.102786186	0.011943722	1	-1	-0.052395278	2-sample test for equality of proportions with continuity correction	less	0.645660657
