Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
7SK|ENSG00000254144.2	12	17	0.2222222222222222	0.21518987341772153	1.7255966948123394e-31	0.9999999999999997	1	-0.1432047590379326	0.15726945664693395	2-sample test for equality of proportions with continuity correction	two.sided
7SK|ENSG00000260682.2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
7SK|ENSG00000271765.1	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
7SK|ENSG00000271814.1	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
A1BG	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.999999999999999	1	-0.06352433197812206	0.04992845762275404	2-sample test for equality of proportions with continuity correction	two.sided
A1CF	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
A2M	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
A2MP1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
A4GNT	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
AACSP1	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.999999999999999	1	-0.06352433197812206	0.04992845762275404	2-sample test for equality of proportions with continuity correction	two.sided
AADAC	1	5	0.018518518518518517	0.06329113924050633	0.6341828909044599	0.42582514046386866	1	-0.12498135434406413	0.035436112900088496	2-sample test for equality of proportions with continuity correction	two.sided
AADACL2	1	5	0.018518518518518517	0.06329113924050633	0.6341828909044599	0.42582514046386866	1	-0.12498135434406413	0.035436112900088496	2-sample test for equality of proportions with continuity correction	two.sided
AADAT	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
AAED1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
AAGAB	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
AAMDC	6	9	0.1111111111111111	0.11392405063291139	1.7401098597765112e-30	0.999999999999999	1	-0.11487130495705718	0.10924542591345661	2-sample test for equality of proportions with continuity correction	two.sided
AANAT	8	14	0.14814814814814814	0.17721518987341772	0.042210531398295045	0.8372189830548518	1	-0.1714143016905033	0.11328021823996415	2-sample test for equality of proportions with continuity correction	two.sided
AAR2	4	2	0.07407407407407407	0.02531645569620253	0.8191976508386519	0.3654148583284458	1	-0.044798903078583086	0.14231413983432617	2-sample test for equality of proportions with continuity correction	two.sided
AARD	19	23	0.35185185185185186	0.2911392405063291	0.3022745440994386	0.5824599871891705	1	-0.11692054101837707	0.23834576370942256	2-sample test for equality of proportions with continuity correction	two.sided
AARS	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
AARS2	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.9999999999999998	1	-0.0611313030882691	0.08457246576993811	2-sample test for equality of proportions with continuity correction	two.sided
AARSD1	5	7	0.09259259259259259	0.08860759493670886	1.0813280912271527e-31	0.9999999999999998	1	-0.09951798336870622	0.10748797868047368	2-sample test for equality of proportions with continuity correction	two.sided
AASDHPPT	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
AATF	12	19	0.2222222222222222	0.24050632911392406	0.0013039610079017946	0.9711943295186709	1	-0.17939795034199377	0.14282973655859008	2-sample test for equality of proportions with continuity correction	two.sided
AATK	8	11	0.14814814814814814	0.13924050632911392	1.9423520260783735e-30	0.9999999999999989	1	-0.12167830661710363	0.13949359025517208	2-sample test for equality of proportions with continuity correction	two.sided
ABAT	3	3	0.05555555555555555	0.0379746835443038	0.0029560628936853898	0.9566406291755523	1	-0.07223009062477356	0.10739183464727706	2-sample test for equality of proportions with continuity correction	two.sided
ABCA10	14	16	0.25925925925925924	0.20253164556962025	0.31076102986358634	0.577213562096371	1	-0.10554192185483585	0.21899714923411384	2-sample test for equality of proportions with continuity correction	two.sided
ABCA13	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
ABCA17P	4	3	0.07407407407407407	0.0379746835443038	0.27063147887690786	0.6029084852251482	1	-0.06107081248155726	0.1332695935410978	2-sample test for equality of proportions with continuity correction	two.sided
ABCA2	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.9999999999999998	1	-0.0611313030882691	0.08457246576993811	2-sample test for equality of proportions with continuity correction	two.sided
ABCA3	4	3	0.07407407407407407	0.0379746835443038	0.27063147887690786	0.6029084852251482	1	-0.06107081248155726	0.1332695935410978	2-sample test for equality of proportions with continuity correction	two.sided
ABCA4	1	4	0.018518518518518517	0.05063291139240506	0.24211909941983112	0.6226797615385531	1	-0.10795551477248747	0.04372672902471437	2-sample test for equality of proportions with continuity correction	two.sided
ABCA5	14	16	0.25925925925925924	0.20253164556962025	0.31076102986358634	0.577213562096371	1	-0.10554192185483585	0.21899714923411384	2-sample test for equality of proportions with continuity correction	two.sided
ABCA6	12	15	0.2222222222222222	0.189873417721519	0.05568949043073102	0.8134433722862483	1	-0.12386393503099413	0.18856154403240055	2-sample test for equality of proportions with continuity correction	two.sided
ABCA8	13	18	0.24074074074074073	0.22784810126582278	7.563596191660809e-31	0.9999999999999993	1	-0.14682609468237745	0.17261137363221335	2-sample test for equality of proportions with continuity correction	two.sided
ABCA9	12	15	0.2222222222222222	0.189873417721519	0.05568949043073102	0.8134433722862483	1	-0.12386393503099413	0.18856154403240055	2-sample test for equality of proportions with continuity correction	two.sided
ABCB1	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
ABCB10	6	12	0.1111111111111111	0.1518987341772152	0.1740513406759662	0.6765360690484222	1	-0.17165940716515948	0.0900841610329513	2-sample test for equality of proportions with continuity correction	two.sided
ABCB11	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
ABCB4	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
ABCB5	0	4	0	0.05063291139240506	1.3504032470553178	0.2452076329916599	1	-0.11456812324418053	0.013302300459370413	2-sample test for equality of proportions with continuity correction	two.sided
ABCC1	4	5	0.07407407407407407	0.06329113924050633	2.538750938686224e-31	0.9999999999999996	1	-0.08810205586586514	0.10966792553300062	2-sample test for equality of proportions with continuity correction	two.sided
ABCC10	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6626772264178555	1	-0.05558053397134807	0.11605873369005412	2-sample test for equality of proportions with continuity correction	two.sided
ABCC11	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
ABCC12	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
ABCC13	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
ABCC3	20	32	0.37037037037037035	0.4050632911392405	0.0491651812805509	0.8245223396071045	1	-0.2185292877769662	0.1491434462392259	2-sample test for equality of proportions with continuity correction	two.sided
ABCC5	4	5	0.07407407407407407	0.06329113924050633	2.538750938686224e-31	0.9999999999999996	1	-0.08810205586586514	0.10966792553300062	2-sample test for equality of proportions with continuity correction	two.sided
ABCC6	4	5	0.07407407407407407	0.06329113924050633	2.538750938686224e-31	0.9999999999999996	1	-0.08810205586586514	0.10966792553300062	2-sample test for equality of proportions with continuity correction	two.sided
ABCC6P1	4	5	0.07407407407407407	0.06329113924050633	2.538750938686224e-31	0.9999999999999996	1	-0.08810205586586514	0.10966792553300062	2-sample test for equality of proportions with continuity correction	two.sided
ABCC8	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.9999999999999998	1	-0.0611313030882691	0.08457246576993811	2-sample test for equality of proportions with continuity correction	two.sided
ABCD1	3	4	0.05555555555555555	0.05063291139240506	1.6588798582280194e-30	0.999999999999999	1	-0.07791003028675225	0.08775531861305325	2-sample test for equality of proportions with continuity correction	two.sided
ABCD2	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
ABCD3	1	4	0.018518518518518517	0.05063291139240506	0.24211909941983112	0.6226797615385531	1	-0.10795551477248747	0.04372672902471437	2-sample test for equality of proportions with continuity correction	two.sided
ABCE1	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
ABCF1	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
ABCF3	3	4	0.05555555555555555	0.05063291139240506	1.6588798582280194e-30	0.999999999999999	1	-0.07791003028675225	0.08775531861305325	2-sample test for equality of proportions with continuity correction	two.sided
