mRNA	logFC	FDR	Short	Long	Delta
C4orf7|260436	-6.393306357812086	1.8284278905823721e-7	26505.654230769233	297.462962962963	169458.76771154575
FGA|2243	-6.619004107106222	0.0012051956044710052	3332.4361538461535	20.24074074074074	22057.408588976952
FGG|2266	-3.4860677229017383	0.02272160406735053	6268.576923076923	462.98148148148147	21852.683680065154
CHGA|1113	-6.49772969089287	5.590373106956339e-6	3231.769230769231	34.074074074074076	20999.16288488324
CYP2A7|1549	-7.919825488535038	1.0272438635366201e-7	1307.57	6.092592592592593	10355.726214043758
SLITRK6|84189	-1.6030739490911545	0.022804276082789607	4121.192307692308	1062.3703703703704	6606.576027656396
CYP2A6|1548	-4.6543229385356115	5.080857736069002e-6	1344.8974358974358	65.12962962962963	6259.586985875163
PHGDH|26227	1.2825077377672844	9.187481780081827e-4	4344.2692307692305	9777.074074074075	5571.558903405867
SPTBN2|6712	1.1028052420936214	7.226260550144963e-4	4198.179487179487	10156.12962962963	4629.77434571145
STAC2|342667	2.276382442927136	0.0012364124804707922	1993.6153846153845	8660.703703703704	4538.231059487891
CHI3L1|1116	1.390595582513375	0.00873640959826661	3063.128205128205	7290.925925925926	4259.572550723405
MAOB|4129	1.3338944383468196	0.015601507883526494	3046.923076923077	7721.944444444444	4064.2737463782714
CRISPLD1|83690	-1.582208796838878	0.005047106141087459	2224.269230769231	723.6296296296297	3519.2583434611215
TMEM64|169200	1.811801680468778	3.359568803455672e-6	1721.4102564102564	5675.555555555556	3118.8539953402924
CHRNA9|55584	-6.096903937301911	1.8943684152724504e-11	480.53846153846155	7.907407407407407	2929.796838178849
AOX1|316	-1.73444396271407	5.441650700705917e-4	1511.2179487179487	414.64814814814815	2621.122847498987
KRT12|3859	-6.2256269587875686	7.946454839835274e-8	414.8076923076923	5.444444444444445	2582.437951943228
HPD|3242	-5.890297978333113	1.2628705073905072e-11	436.2692307692308	6.666666666666667	2569.755768008942
SPANXA2|728712	-6.257444718309965	0.03294431259866222	406.6673076923077	3.2777777777777777	2544.6981966285643
FAIM2|23017	-1.2721960307280127	0.04641743380980036	1934.4871794871794	785.1111111111111	2461.046911237818
CES1|1066	-1.4593064848085076	0.007699058854362684	1634.923076923077	647.7592592592592	2385.8538483169245
LOC643719|643719	-2.4709890383006914	0.0109658158350983	957.7820512820513	126.55555555555556	2366.668949799099
CRABP1|1381	2.0199427610973775	0.006721789128253039	1071.576923076923	3311.685185185185	2164.524048728232
SELL|6402	2.4042645922449997	6.626078735961382e-10	798.3333333333334	5153.925925925926	1919.404566142258
EGFR|1956	-1.1345156009509207	0.032323993158024485	1668.7541025641026	877.1394444444444	1893.2275635098272
NCALD|83988	1.3372965164416957	1.050115545903334e-4	1394.1538461538462	3307.5925925925926	1864.3970818453301
C6orf223|221416	-3.385375894826783	1.4177280215746366e-6	517.4412820512821	43.5037037037037	1751.733243244677
KRT6A|3853	1.8824509575758184	0.047028438586625566	907.2948717948718	2884.074074074074	1707.9381002138857
SLITRK3|22865	-6.638664016944501	1.870331583540047e-7	251.28205128205127	2.4444444444444446	1668.1771119501566
B4GALNT2|124872	-1.7080051802700917	0.04462674668888269	815.025641025641	241.5	1392.068016924747
CA10|56934	-3.816832689832663	0.005766890613431445	359.3205128205128	24.685185185185187	1371.4662794607698
GCG|2641	-8.401591477929337	0.04150894237697625	149.14102564102564	0.2962962962962963	1253.0219700352816
TRPA1|8989	1.790508514166958	0.04917020482575844	694.7974358974359	3985.920925925926	1244.0407245957304
FRZB|2487	1.669917879462422	4.845860234873334e-7	724.3717948717949	1908.8333333333333	1209.6414116346964
MSMB|4477	2.801663476793334	1.2192349836890696e-6	411.97435897435895	1564.3333333333333	1154.2135149138076
BCHE|590	-2.760982123689703	4.6764059339754966e-6	416.4871794871795	86.20370370370371	1149.9136573100475
HSD3B2|3284	-3.2956108655875123	0.002721507830259819	344.11538461538464	34.388888888888886	1134.0704005542875
ID4|3400	1.4012597346213471	9.545266161336184e-4	760.1153846153846	1505.4814814814815	1065.119082127757
PTPRN2|5799	1.3367023984669864	0.0065323301321145765	789.0930769230769	2072.8181481481483	1054.782608536771
LOC84740|84740	-2.863888420081229	1.7465851861545367e-5	348.3475641025641	56.6012962962963	997.628554996837
CTSE|1510	-2.7973961884503007	0.005837732756928436	332.14102564102564	41.888888888888886	929.1300391561787
LACRT|90070	-5.920321211309505	4.8380110553193325e-4	156.12820512820514	2.4814814814814814	924.3291245041944
MUC20|200958	1.4313024097857232	0.0037060253590106176	609.474358974359	1751.2592592592594	872.342118702609
FAM135B|51059	-2.9011219464210005	2.8730824736707148e-5	277.85897435897436	32.907407407407405	806.1027685228506
CAMP|820	-1.6828847148099415	0.008237868091899131	475.21794871794873	118.61111111111111	799.7370221007706
SCGB3A1|92304	2.0607884031498744	0.022525500143082567	378.88461538461536	1671.611111111111	780.8010215165158
TTR|7276	-4.892812424827211	5.749218243632178e-4	154.66666666666666	4.074074074074074	756.7549883732753
PCDH10|57575	3.3160919606113093	1.3832425579540167e-6	218.9102564102564	2200.0555555555557	725.9265413774116
HAPLN1|1404	-2.089286370102967	5.811647630821949e-5	337.8205128205128	88.42592592592592	705.803792977092
CHGB|1114	-2.5220735505806693	0.002204397822120927	271.62820512820514	42.592592592592595	685.0663117455467
EPHA3|2042	-1.0889432356531075	0.03113577304915043	606.3846153846154	269.81481481481484	660.3184251271881
SPANXC|64663	-5.163951153239366	0.02272160406735053	126.53782051282052	2.1666666666666665	653.4351241655754
SPDYC|387778	-2.479659426240752	0.019536399556800737	261.2307692307692	64.9074074074074	647.7633393471995
LMO3|55885	-1.2129469148911833	0.030453659930348955	518.7179487179487	210.55555555555554	629.177335596119
ROBO2|6092	1.7952516475678837	0.00877816700655716	346.20512820512823	1265.2592592592594	621.5253268067069
PYDC1|260434	-2.0981286424388896	0.015730804635519378	295.85897435897436	74.24074074074075	620.7501882251571
C20orf85|128602	-3.952427416059804	0.02997517299263806	157.02564102564102	16.09259259259259	620.6324486141087
RTL1|388015	-5.726738741320728	1.82201103510018e-4	100.87179487179488	2.259259259259259	577.6664155988652
NPTX1|4884	-2.361790432031615	1.187395809476236e-5	238.55128205128204	38	563.4081354975931
CRLF1|9244	-1.276077673576305	0.014494810150206842	429.1794871794872	189.66666666666666	547.6663615466716
ANK1|286	-1.6293541536300684	0.0034997498654101553	317.93589743589746	99.03703703703704	518.030175075283
MYO3B|140469	-2.482130238472073	2.074912935564229e-4	206.9102564102564	41.55555555555556	513.5782040859075
NTNG1|22854	-1.7972858667608171	0.02338430792917932	282.4102564102564	72.85185185185185	507.5719624744523
MLC1|23209	-2.3039610768567873	0.002204397822120927	217.5	42.2962962962963	501.11153421635123
MYOM2|9172	-1.6187937501559508	0.008399538034485864	289.1794871794872	79.25925925925925	468.12194651945674
FAM196A|642938	2.778229914932666	1.4177280215746366e-6	165.98717948717947	1328.611111111111	461.15054754657984
SELE|6401	1.1034574975706708	0.016375241681192174	416.14102564102564	952.1666666666666	459.1939347903385
SPAG6|9576	-2.1367644692962133	0.032323993158024485	212.05128205128204	81.85185185185185	453.1036451558893
KCNK3|3777	-1.6527556626325803	0.001672396454828609	273.2307692307692	74.68518518518519	451.58370105160964
IGSF1|3547	2.0277327995304573	0.00873640959826661	221.67948717948718	511.81481481481484	449.50676713693764
FOLR1|2348	2.5972944508729396	1.83003943595955e-5	157.96153846153845	1255.4444444444443	410.27262729750623
MUC4|4585	-1.8424179277908526	0.004541971373677772	220.6153846153846	54.148148148148145	406.46573976185886
CARTPT|9607	-6.821155157226356	3.8900047483909535e-5	58.73076923076923	0.4444444444444444	400.61168942633253
KLK10|5655	1.7430805287687892	0.02493795089454337	229.80769230769232	720.0925925925926	400.5733138228275
CPS1|1373	1.9647599143876049	1.1350554325657274e-6	200.17948717948718	792.1851851851852	393.3046320929239
KLK11|11012	2.260242178648724	0.021302024918574795	172.55128205128204	720.1481481481482	390.0076856722202
SLC6A14|11254	1.5183314318660388	0.03692726370972735	256.05128205128204	649.7222222222222	388.770709708058
PLP1|5354	3.689079176675503	3.961369010814027e-9	104.55064102564103	1492.295925925926	385.6955927157679
ZP2|7783	-2.95613688085928	0.03034747780132236	129.66666666666666	14.833333333333334	383.31241555142
CLDN9|9080	-1.729734923576772	0.0017160744447751307	205.60256410256412	75.46296296296296	355.63793550513714
MCOLN3|55283	-1.1220104904830546	0.019920420944244874	311.02564102564105	150.12962962962962	348.97403203998596
GIP|2695	-7.287426373867012	1.7364230266243394e-4	44.35897435897436	0.1111111111111111	323.26275966128026
PI15|51050	1.132925343254644	0.010003425177504405	270.84615384615387	614.4814814814815	306.848471815354
FABP5|2171	1.3039170229360189	5.583374311364427e-4	231.87179487179486	499.462962962963	302.341580472062
LY6D|8581	2.6580205285374507	0.00337336221872776	110.53846153846153	679.9814814814815	293.8134999621782
VTN|7448	-1.6462920200658988	0.03620059940250114	168.36705128205128	62.55518518518519	277.181332967667
GDPD2|54857	-2.0052125538990393	0.010802082496205238	137.89743589743588	40.148148148148145	276.5136696120265
IL7R|3575	1.0455010882596099	0.009232778755267061	260.94871794871796	585.3518518518518	272.82216859533463
KRTAP9-4|85280	-7.788506539758769	0.007045076349672484	34.705128205128204	0	270.30111798880756
TCHHL1|126637	-3.628261377384744	0.01288983529832031	72.65384615384616	6.148148148148148	263.6071439184532
AMBP|259	1.683166233245483	0.004583090933311582	156.56410256410257	523.9814814814815	263.52341077428
UGT2B4|7363	4.212763629689538	5.487561910107488e-5	62.01282051282051	1745.7592592592594	261.24535483087556
MT1A|4489	-1.6498039749760633	0.023373171117757933	154.63076923076923	65.62962962962963	255.11045773052942
CGB5|93659	-6.418256362998409	2.6447903950865636e-4	38.98717948717949	0.3888888888888889	250.2297128189508
ZPBP2|124626	-4.522210612022364	2.7182607606739308e-5	54.64102564102564	1.9074074074074074	247.09822600563223
