mRNA	logFC	FDR	Short	Long	Delta
C4orf7	-6.393813209451605	1.9431073193032003e-7	26505.653846153848	297.462962962963	169472.1996866902
FGA	-6.6177194507900685	0.0011794405876826486	3332.4358974358975	20.24074074074074	22053.125856972598
FGG	-3.486067876371439	0.034331773447937974	6268.576923076923	462.98148148148147	21852.684642101776
CHGA	-6.499324776343148	4.868109820236827e-6	3231.769230769231	34.074074074074076	21004.317832961897
PIGR	-1.6016409277959434	0.1568241035897011	8993.205128205129	2804.3703703703704	14403.885405397697
CYP2A7	-7.919551822901026	8.310831145835966e-8	1307.5641025641025	6.092592592592593	10355.321672021482
FABP7	-1.9149283965489259	0.289937617278626	3664.9358974358975	822.9814814814815	7018.089821531522
SLITRK6	-1.6023317108673654	0.035429614298640305	4121.192307692308	1062.3703703703704	6603.5171211980405
CYP2A6	-4.653625940330754	4.863076013797476e-6	1344.8974358974358	65.12962962962963	6258.649594776624
S100A7A	-2.0746509544533067	0.20529223657371118	2464.2179487179487	625.6111111111111	5112.392119288662
CRISPLD1	-1.5812231820634808	0.007309354175625956	2224.269230769231	723.6296296296297	3517.066070842814
CHRNA9	-6.097276024910872	1.0963322419038528e-11	480.53846153846155	7.907407407407407	2929.975640586017
C20orf56	-7.701862962767155	0.04661639148216373	349.55128205128204	0.4074074074074074	2692.1960728185445
AOX1	-1.7339132520281044	7.01891754719958e-4	1511.2179487179487	414.64814814814815	2620.3208279847795
KRT12	-6.224365563026758	7.907909166614385e-8	414.8076923076923	5.444444444444445	2581.9147152785995
HPD	-5.892082788135621	7.568230829483518e-12	436.2692307692308	6.666666666666667	2570.534425608552
SPANXA2	-6.259403625211245	0.05999256455444755	406.6666666666667	3.2777777777777777	2545.4908075859066
PDZK1IP1	-1.005124388654178	0.17432700950967708	2483.948717948718	1322.3703703703704	2496.6774365765345
FAIM2	-1.271764137018984	0.07180795764566948	1934.4871794871794	785.1111111111111	2460.211418394801
CES1	-1.4593670298775376	0.012090299911946994	1634.923076923077	647.7592592592592	2385.9528348474755
LOC643719	-2.4718387125315986	0.01682179112404275	957.7820512820513	126.55555555555556	2367.4827525268993
FGL1	-2.4485566235999983	0.11784666876710631	860.3589743589744	110.16666666666667	2106.6376653403677
CHIT1	-1.2535933349145076	0.2677565581695835	1590.6923076923076	881.074074074074	1994.081274822854
EGFR	-1.1349446549410187	0.05111710559685355	1668.7692307692307	877.1481481481482	1893.9607187915738
C2CD4A	-1.1401866191438035	0.30178562234446976	1619.2051282051282	702.5555555555555	1846.196020828514
